time_gmt,observed_m,predicted_m,residual_m,minor_flood_threshold_m,water_level_above_threshold_m,rate_of_change_m_per_hr,tide_phase,month,season,is_above_threshold
2024-01-09 00:00:00,-1.519,-1.578,0.05900000000000016,3.47,0.0,,steady,1,winter,False
2024-01-09 01:00:00,-1.204,-1.262,0.05800000000000005,3.47,0.0,0.31499999999999995,rising,1,winter,False
2024-01-09 02:00:00,-0.897,-0.959,0.061999999999999944,3.47,0.0,0.30699999999999994,rising,1,winter,False
2024-01-09 03:00:00,-0.72,-0.743,0.02300000000000002,3.47,0.0,0.17700000000000005,rising,1,winter,False
2024-01-09 04:00:00,-0.639,-0.654,0.015000000000000013,3.47,0.0,0.08099999999999996,rising,1,winter,False
2024-01-09 05:00:00,-0.672,-0.685,0.013000000000000012,3.47,0.0,-0.03300000000000003,falling,1,winter,False
2024-01-09 06:00:00,-0.812,-0.789,-0.02300000000000002,3.47,0.0,-0.14,falling,1,winter,False
2024-01-09 07:00:00,-0.96,-0.911,-0.04899999999999993,3.47,0.0,-0.1479999999999999,falling,1,winter,False
2024-01-09 08:00:00,-1.035,-0.994,-0.040999999999999925,3.47,0.0,-0.07499999999999996,falling,1,winter,False
2024-01-09 09:00:00,-0.988,-0.988,0.0,3.47,0.0,0.04699999999999993,rising,1,winter,False
2024-01-09 10:00:00,-0.814,-0.862,0.04800000000000004,3.47,0.0,0.17400000000000004,rising,1,winter,False
2024-01-09 11:00:00,-0.584,-0.625,0.041000000000000036,3.47,0.0,0.22999999999999998,rising,1,winter,False
2024-01-09 12:00:00,-0.278,-0.326,0.04799999999999999,3.47,0.0,0.30599999999999994,rising,1,winter,False
2024-01-09 13:00:00,0.003,-0.032,0.035,3.47,0.0,0.281,rising,1,winter,False
2024-01-09 14:00:00,0.239,0.184,0.05499999999999999,3.47,0.0,0.236,rising,1,winter,False
2024-01-09 15:00:00,0.29,0.257,0.032999999999999974,3.47,0.0,0.05099999999999999,rising,1,winter,False
2024-01-09 16:00:00,0.176,0.138,0.03799999999999998,3.47,0.0,-0.11399999999999999,falling,1,winter,False
2024-01-09 17:00:00,-0.147,-0.167,0.020000000000000018,3.47,0.0,-0.32299999999999995,falling,1,winter,False
2024-01-09 18:00:00,-0.591,-0.606,0.015000000000000013,3.47,0.0,-0.44399999999999995,falling,1,winter,False
2024-01-09 19:00:00,-1.072,-1.098,0.026000000000000023,3.47,0.0,-0.4810000000000001,falling,1,winter,False
2024-01-09 20:00:00,-1.547,-1.564,0.017000000000000126,3.47,0.0,-0.47499999999999987,falling,1,winter,False
2024-01-09 21:00:00,-1.902,-1.924,0.02200000000000002,3.47,0.0,-0.355,falling,1,winter,False
2024-01-09 22:00:00,-2.076,-2.107,0.03100000000000014,3.47,0.0,-0.17400000000000015,falling,1,winter,False
2024-01-09 23:00:00,-2.012,-2.081,0.06899999999999995,3.47,0.0,0.06400000000000006,rising,1,winter,False
2024-01-10 00:00:00,-1.775,-1.87,0.0950000000000002,3.47,0.0,0.2370000000000001,rising,1,winter,False
2024-01-10 01:00:00,-1.431,-1.539,0.10799999999999987,3.47,0.0,0.34399999999999986,rising,1,winter,False
2024-01-10 02:00:00,-1.084,-1.169,0.08499999999999996,3.47,0.0,0.347,rising,1,winter,False
